Date,Open,High,Low,Close,Volume
10/13/2015,643.15,657.81,643.15,652.3,"1,807,700"
10/14/2015,653.21,659.39,648.85,651.16,"1,415,500"
10/15/2015,654.66,663.13,654.46,661.74,"1,885,700"
10/16/2015,664.11,664.97,657.2,662.2,"1,611,100"
10/19/2015,661.18,666.82,659.58,666.1,"1,477,300"
10/20/2015,664.04,664.72,644.2,650.28,"2,490,000"
10/21/2015,654.15,655.87,641.73,642.61,"1,791,100"
10/22/2015,646.7,657.8,644.01,651.79,"4,071,000"
10/23/2015,727.5,730,701.5,702,"6,653,900"
10/26/2015,701.55,719.15,701.26,712.78,"2,716,600"
10/27/2015,707.38,713.62,704.55,708.49,"2,245,800"
10/28/2015,707.33,712.98,703.08,712.95,"2,178,900"
10/29/2015,710.5,718.26,710.01,716.92,"1,456,000"
10/30/2015,715.73,718,710.05,710.81,"1,908,800"
11/2/2015,711.06,721.62,705.85,721.11,"1,886,300"
11/3/2015,718.86,724.65,714.72,722.16,"1,565,400"
11/4/2015,722,733.1,721.9,728.11,"1,706,700"
11/5/2015,729.47,739.48,729.47,731.25,"1,861,600"
11/6/2015,731.5,735.41,727.01,733.76,"1,511,600"
11/9/2015,730.2,734.71,719.43,724.89,"2,069,800"
11/10/2015,724.4,730.59,718.5,728.32,"1,608,000"
11/11/2015,732.46,741,730.23,735.4,"1,366,400"
11/12/2015,731,737.8,728.65,731.23,"1,837,200"
11/13/2015,729.17,731.15,716.73,717,"2,075,500"
11/16/2015,715.6,729.49,711.33,728.96,"1,905,900"
11/17/2015,729.29,731.84,723.03,725.3,"1,510,900"
11/18/2015,727.58,741.41,727,740,"1,684,300"
11/19/2015,738.74,742,737.43,738.41,"1,327,100"
11/20/2015,746.53,757.92,743,756.6,"2,212,300"
11/23/2015,757.45,762.71,751.82,755.98,"1,414,500"
11/24/2015,752,755.28,737.63,748.28,"2,333,100"
11/25/2015,748.14,752,746.06,748.15,"1,122,100"
11/27/2015,748.46,753.41,747.49,750.26,"838,500"
11/30/2015,748.81,754.93,741.27,742.6,"2,097,600"
12/1/2015,747.11,768.95,746.7,767.04,"2,134,600"
12/2/2015,768.9,775.96,758.96,762.38,"2,230,400"
12/3/2015,766.01,768.99,745.63,752.54,"2,590,600"
12/4/2015,753.1,768.49,750,766.81,"2,757,300"
12/7/2015,767.77,768.73,755.09,763.25,"1,812,300"
12/8/2015,757.89,764.8,754.2,762.37,"1,829,500"
12/9/2015,759.17,764.23,737,751.61,"2,700,000"
12/10/2015,752.85,755.85,743.83,749.46,"1,984,900"
12/11/2015,741.16,745.71,736.75,738.87,"2,224,400"
12/14/2015,741.79,748.73,724.17,747.77,"2,412,500"
12/15/2015,753,758.08,743.01,743.4,"2,666,200"
12/16/2015,750,760.59,739.43,758.09,"1,993,300"
12/17/2015,762.42,762.68,749,749.43,"1,553,400"
12/18/2015,746.51,754.13,738.15,739.31,"3,148,700"
12/21/2015,746.13,750,740,747.77,"1,525,700"
12/22/2015,751.65,754.85,745.53,750,"1,365,400"
12/23/2015,753.47,754.21,744,750.31,"1,565,900"
12/24/2015,749.55,751.35,746.62,748.4,"527,200"
12/28/2015,752.92,762.99,749.52,762.51,"1,515,300"
12/29/2015,766.69,779.98,766.43,776.6,"1,765,000"
12/30/2015,776.6,777.6,766.9,771,"1,293,300"
12/31/2015,769.5,769.5,758.34,758.88,"1,489,600"
1/4/2016,743,744.06,731.26,741.84,"3,272,800"
